iter	Passed	Remaining
836	4789	932
837	4794	926
838	4800	921
839	4804	915
840	4806	908
841	4810	902
842	4816	896
843	4818	890
844	4821	884
845	4824	878
846	4831	872
847	4835	866
848	4840	860
849	4843	854
850	4848	848
851	4852	842
852	4857	837
853	4864	831
854	4868	825
855	4871	819
856	4874	813
857	4895	810
858	4899	804
859	4904	798
860	4913	793
861	4915	787
862	4918	780
863	4922	774
864	4929	769
865	4932	763
866	4935	757
867	4939	751
868	4944	745
869	4947	739
870	4950	733
871	4953	727
872	4956	721
873	4959	714
874	4969	709
875	4978	704
876	4984	699
877	4990	693
878	4997	687
879	5002	682
880	5009	676
881	5012	670
882	5017	664
883	5021	658
884	5024	652
885	5026	646
886	5062	644
887	5066	639
888	5073	633
889	5076	627
890	5079	621
891	5082	615
892	5087	609
893	5090	603
894	5093	597
895	5096	591
896	5112	587
897	5120	581
898	5123	575
899	5129	569
900	5136	564
901	5139	558
902	5143	552
903	5150	546
904	5155	541
905	5158	535
906	5161	529
907	5167	523
908	5174	518
909	5177	512
910	5186	506
911	5189	500
912	5192	494
913	5196	488
914	5199	483
915	5202	477
916	5206	471
917	5209	465
918	5219	460
919	5222	454
920	5230	448
921	5234	442
922	5239	437
923	5248	431
924	5253	425
925	5261	420
926	5264	414
927	5267	408
928	5270	402
929	5273	396
930	5279	391
931	5282	385
932	5284	379
933	5294	374
934	5297	368
935	5300	362
936	5305	356
937	5309	350
938	5313	345
939	5316	339
940	5318	333
941	5321	327
942	5327	322
943	5337	316
944	5343	310
945	5346	305
946	5353	299
947	5356	293
948	5359	288
949	5361	282
950	5370	276
951	5373	270
952	5390	265
953	5394	260
954	5399	254
955	5402	248
956	5408	243
957	5410	237
958	5416	231
959	5419	225
960	5425	220
961	5436	214
962	5442	209
963	5450	203
964	5453	197
965	5455	192
966	5458	186
967	5465	180
968	5474	175
969	5486	169
970	5490	163
971	5499	158
972	5505	152
973	5519	147
974	5522	141
975	5530	135
976	5536	130
977	5539	124
978	5546	118
979	5552	113
980	5556	107
981	5559	101
982	5563	96
983	5566	90
984	5572	84
985	5576	79
986	5583	73
987	5590	67
988	5593	62
989	5596	56
990	5599	50
991	5602	45
992	5607	39
993	5611	33
994	5615	28
995	5621	22
996	5625	16
997	5637	11
998	5640	5
999	5644	0
